,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Power_Parity,sex_ratio,literacy_rate
366,Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,525920,469826,627889,359172,18098,158414,9388,3277,818921,178,365,183396,7897,21662,98764,158812,116716,128693,85642,37417,638000,306336,2774,89.0,63.0
367,Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,475622,426274,524848,335326,5187,254920,4333,1681,638625,240,433,166585,4571,14077,90240,137470,101852,104682,62612,36905,544427,340886,2025,90.0,58.0
368,Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,1002522,893164,1266791,660267,23647,783306,40043,5683,1059944,245,1410,352929,24274,55105,173890,283837,239609,256826,157435,141947,1280816,518772,5679,89.0,67.0
369,Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,357485,327142,502731,233676,12321,304481,14492,2094,361045,118,143,129123,6600,17542,53005,107715,98135,116836,68794,38823,492696,124100,2034,92.0,73.0
370,Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,878029,777140,1002077,568758,18578,389410,179116,2406,1077438,268,1038,305557,10736,30955,163251,250833,197901,220210,130155,73636,1054379,570103,3943,89.0,61.0
371,Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,1324085,1258967,1526673,1053722,35602,2201663,314159,10605,6799,417,184,393498,13499,41732,379043,394576,313680,200191,130608,172683,1618919,1034334,4339,95.0,59.0
372,Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,1939026,1735153,2182476,1708542,34562,3039279,547335,2696,64532,4384,348,485723,9750,45770,492781,492981,468628,324050,230415,222622,2262867,1384905,5732,89.0,59.0
373,Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,907754,889731,829343,916574,19818,1701234,48834,22250,427,138,109,120603,2324,15062,240067,190259,137780,75011,50438,47094,748794,1040914,2734,98.0,46.0
374,Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,633945,588810,693307,552583,15258,1133349,79984,1432,3066,84,48,161310,1363,9491,203489,194024,144190,76209,46847,49939,722755,545842,1741,93.0,57.0
375,Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,1369022,1234729,1188322,1202482,30565,2244882,321192,1157,450,157,34,126494,2766,37730,406804,352636,219932,101291,52272,39533,1179796,1501858,3437,90.0,46.0
